"NAME","CATEGORY","FORM","ID","DUMB","PACKING","TRADEPRICE","RETIALPRICE","MG","DID","BID"
"SEVENSEAS MVM","27","Caps","63","11","30s","187.19","220.22","4mg","1104","6870"
"SEVENSEAS MVM","27","Caps","64","12","60s","339.49","399.40","40mg ","59","6870"
"SEVENSEAS MVM","27","Caps","65","12","60s","339.49","399.40","0.5mcg ","96","6870"
"SEVENSEAS MVM","27","Caps","66","12","60s","339.49","399.40","100IU ","117","6870"
"SEVENSEAS MVM","27","Caps","67","12","60s","339.49","399.40","2mcg ","203","6870"
"SEVENSEAS MVM","27","Caps","68","12","60s","339.49","399.40","12.5mcg ","323","6870"
"SEVENSEAS MVM","27","Caps","69","12","60s","339.49","399.40","12mg ","391","6870"
"SEVENSEAS MVM","27","Caps","70","12","60s","339.49","399.40","140mcg ","384","6870"
"SEVENSEAS MVM","27","Caps","71","12","60s","339.49","399.40","0.5mg ","433","6870"
"SEVENSEAS MVM","27","Caps","72","12","60s","339.49","399.40","0.2mg ","1276","6870"
"SEVENSEAS MVM","27","Caps","73","12","60s","339.49","399.40","15mg ","1300","6870"
"SEVENSEAS MVM","27","Caps","74","12","60s","339.49","399.40","1mg ","1392","6870"
"SEVENSEAS MVM","27","Caps","75","12","60s","339.49","399.40","5mg ","1404","6870"
"SEVENSEAS MVM","27","Caps","76","12","60s","339.49","399.40","5mcg ","1292","6870"
"SEVENSEAS MVM","27","Caps","77","12","60s","339.49","399.40","77mg ","1297","6870"
"SEVENSEAS MVM","27","Caps","78","12","60s","339.49","399.40","20mg ","513","6870"
"SEVENSEAS MVM","27","Caps","79","12","60s","339.49","399.40","50mcg ","1295","6870"
"SEVENSEAS MVM","27","Caps","80","12","60s","339.49","399.40","30mg ","1304","6870"
"SEVENSEAS MVM","27","Caps","81","12","60s","339.49","399.40","0.5mg ","591","6870"
"SEVENSEAS MVM","27","Caps","82","12","60s","339.49","399.40","2mg ","648","6870"
"SEVENSEAS MVM","27","Caps","83","12","60s","339.49","399.40","5mg ","1356","6870"
"SEVENSEAS MVM","27","Caps","84","12","60s","339.49","399.40","2.3mg ","710","6870"
"SEVENSEAS MVM","27","Caps","85","12","60s","339.49","399.40","8mg ","637","6870"
"SEVENSEAS MVM","27","Caps","86","12","60s","339.49","399.40","20mg ","831","6870"
"SEVENSEAS MVM","27","Caps","87","12","60s","339.49","399.40","30IU","723","6870"
"SEVENSEAS MVM","27","Syrup","88","13","150ml","243.10","286.00","17.5mg/5ml ","59","6870"
"SEVENSEAS MVM","27","Syrup","89","13","150ml","243.10","286.00","0.2mg/5ml ","117","6870"
"SEVENSEAS MVM","27","Syrup","90","13","150ml","243.10","286.00","0.1mg/5ml ","1297","6870"
"SEVENSEAS MVM","27","Syrup","91","13","150ml","243.10","286.00","9mg/5ml ","511","6870"
